datetime,latitude,longitude,speed,elevation,heartrate,cadence,core_temperature,skin_temperature,stride_length
2022-10-08 21:27:05+00:00,19.639484183862805,-155.9973514918238,0.0,9.600000000000023,138.0,0.0,38.86000061035156,,
2022-10-08 21:27:06+00:00,19.639442525804043,-155.99734168499708,0.0,9.399999999999977,139.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:07+00:00,19.639391312375665,-155.99738334305584,0.0,9.399999999999977,138.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:08+00:00,19.63934906758368,-155.99734000861645,0.0,9.399999999999977,139.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:09+00:00,19.63931721635163,-155.99733715876937,1.148,9.199999999999989,139.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:10+00:00,19.639297015964985,-155.9973306208849,1.157,9.199999999999989,138.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:11+00:00,19.63926742784679,-155.99731519818306,3.723,9.199999999999989,138.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:12+00:00,19.639249742031097,-155.99729960784316,3.807,9.199999999999989,139.0,0.0,38.86000061035156,34.20000076293945,
2022-10-08 21:27:13+00:00,19.63921177200973,-155.99728879518807,3.788,9.199999999999989,139.0,0.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:14+00:00,19.639178244397044,-155.99727446213365,3.788,9.199999999999989,140.0,88.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:15+00:00,19.63916684500873,-155.99723858758807,3.676,9.0,140.0,88.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:16+00:00,19.63913993909955,-155.99719081074,3.676,9.0,139.0,88.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:17+00:00,19.639123594388366,-155.99714756011963,3.77,8.800000000000011,139.0,88.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:18+00:00,19.639112697914243,-155.9971007052809,3.826,8.800000000000011,139.0,89.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:19+00:00,19.639101717621088,-155.99706047214568,3.826,8.800000000000011,139.0,89.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:20+00:00,19.639078583568335,-155.9970293752849,3.844,8.800000000000011,139.0,89.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:21+00:00,19.639058047905564,-155.9970050677657,3.872,8.800000000000011,139.0,89.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:22+00:00,19.639028292149305,-155.99697950296104,3.882,8.800000000000011,140.0,89.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:23+00:00,19.638989148661494,-155.9969638288021,3.882,8.800000000000011,139.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:24+00:00,19.638953106477857,-155.99695309996605,3.947,8.800000000000011,140.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:25+00:00,19.638924272730947,-155.99695016629994,3.984,8.800000000000011,139.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:26+00:00,19.63889602571726,-155.99695703946054,3.984,8.800000000000011,140.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:27+00:00,19.638863001018763,-155.9969762340188,3.956,8.800000000000011,140.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:28+00:00,19.6388179063797,-155.99700037389994,3.956,8.800000000000011,139.0,90.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:29+00:00,19.638793095946312,-155.99701412022114,3.966,9.0,140.0,91.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:30+00:00,19.638763004913926,-155.9970344044268,3.975,9.0,139.0,98.0,38.86000061035156,34.150001525878906,
2022-10-08 21:27:31+00:00,19.638733165338635,-155.9970486536622,3.984,9.0,139.0,98.0,38.86000061035156,34.20000076293945,1.393
2022-10-08 21:27:32+00:00,19.638696620240808,-155.99706147797406,4.003,9.0,140.0,95.0,38.86000061035156,34.20000076293945,1.406
2022-10-08 21:27:33+00:00,19.63866636157036,-155.9970761463046,4.012,9.199999999999989,140.0,89.0,38.86000061035156,34.20000076293945,1.406
2022-10-08 21:27:34+00:00,19.63863903656602,-155.99709006026387,4.012,9.199999999999989,140.0,89.0,38.86000061035156,34.20000076293945,1.4
2022-10-08 21:27:35+00:00,19.6386088617146,-155.99710405804217,4.003,9.199999999999989,139.0,89.0,38.86000061035156,34.20000076293945,1.409
2022-10-08 21:27:36+00:00,19.63858438655734,-155.99710959009826,3.994,9.0,140.0,88.0,38.86000061035156,34.20000076293945,1.411
2022-10-08 21:27:37+00:00,19.638561252504587,-155.99709869362414,3.956,8.800000000000011,142.0,87.0,38.86000061035156,34.20000076293945,1.411
2022-10-08 21:27:38+00:00,19.638538118451834,-155.99707237444818,3.928,8.800000000000011,142.0,88.0,38.86000061035156,34.20000076293945,1.355
2022-10-08 21:27:39+00:00,19.63851749897003,-155.9970370028168,3.9,8.800000000000011,142.0,88.0,38.86000061035156,34.20000076293945,1.306
2022-10-08 21:27:40+00:00,19.63849931024015,-155.99700112827122,3.882,8.600000000000023,136.0,88.0,38.86000061035156,34.20000076293945,1.306
2022-10-08 21:27:41+00:00,19.638493862003088,-155.99695435725152,3.854,8.600000000000023,136.0,89.0,38.86000061035156,34.20000076293945,1.306
2022-10-08 21:27:42+00:00,19.638503333553672,-155.99691638723016,3.826,8.600000000000023,135.0,88.0,38.86000061035156,34.20000076293945,1.306
